Label (Grouping),        No vehicle available
Census Tract 1241.04; Los Angeles County; California!!Total!!Estimate,9.10%
Census Tract 1241.04; Los Angeles County; California!!Total!!Margin of Error,±6.5
Census Tract 1241.04; Los Angeles County; California!!Male!!Estimate,6.90%
Census Tract 1241.04; Los Angeles County; California!!Male!!Margin of Error,±6.6
Census Tract 1241.04; Los Angeles County; California!!Female!!Estimate,12.00%
Census Tract 1241.04; Los Angeles County; California!!Female!!Margin of Error,±9.8
Census Tract 1241.05; Los Angeles County; California!!Total!!Estimate,5.80%
Census Tract 1241.05; Los Angeles County; California!!Total!!Margin of Error,±4.6
Census Tract 1241.05; Los Angeles County; California!!Male!!Estimate,6.80%
Census Tract 1241.05; Los Angeles County; California!!Male!!Margin of Error,±5.8
Census Tract 1241.05; Los Angeles County; California!!Female!!Estimate,4.50%
Census Tract 1241.05; Los Angeles County; California!!Female!!Margin of Error,±4.7
Census Tract 1242.01; Los Angeles County; California!!Total!!Estimate,1.00%
Census Tract 1242.01; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 1242.01; Los Angeles County; California!!Male!!Estimate,1.50%
Census Tract 1242.01; Los Angeles County; California!!Male!!Margin of Error,±2.6
Census Tract 1242.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1242.01; Los Angeles County; California!!Female!!Margin of Error,±6.0
Census Tract 1242.03; Los Angeles County; California!!Total!!Estimate,6.00%
Census Tract 1242.03; Los Angeles County; California!!Total!!Margin of Error,±4.8
Census Tract 1242.03; Los Angeles County; California!!Male!!Estimate,7.70%
Census Tract 1242.03; Los Angeles County; California!!Male!!Margin of Error,±6.4
Census Tract 1242.03; Los Angeles County; California!!Female!!Estimate,4.70%
Census Tract 1242.03; Los Angeles County; California!!Female!!Margin of Error,±4.5
Census Tract 1242.04; Los Angeles County; California!!Total!!Estimate,0.90%
Census Tract 1242.04; Los Angeles County; California!!Total!!Margin of Error,±1.5
Census Tract 1242.04; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1242.04; Los Angeles County; California!!Male!!Margin of Error,±6.5
Census Tract 1242.04; Los Angeles County; California!!Female!!Estimate,2.00%
Census Tract 1242.04; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 1243; Los Angeles County; California!!Total!!Estimate,4.50%
Census Tract 1243; Los Angeles County; California!!Total!!Margin of Error,±4.1
Census Tract 1243; Los Angeles County; California!!Male!!Estimate,4.90%
Census Tract 1243; Los Angeles County; California!!Male!!Margin of Error,±6.7
Census Tract 1243; Los Angeles County; California!!Female!!Estimate,4.10%
Census Tract 1243; Los Angeles County; California!!Female!!Margin of Error,±3.8
Census Tract 1244; Los Angeles County; California!!Total!!Estimate,1.10%
Census Tract 1244; Los Angeles County; California!!Total!!Margin of Error,±1.9
Census Tract 1244; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1244; Los Angeles County; California!!Male!!Margin of Error,±3.7
Census Tract 1244; Los Angeles County; California!!Female!!Estimate,2.20%
Census Tract 1244; Los Angeles County; California!!Female!!Margin of Error,±3.8
Census Tract 1245; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1245; Los Angeles County; California!!Total!!Margin of Error,±2.6
Census Tract 1245; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1245; Los Angeles County; California!!Male!!Margin of Error,±5.5
Census Tract 1245; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1245; Los Angeles County; California!!Female!!Margin of Error,±5.0
Census Tract 1246; Los Angeles County; California!!Total!!Estimate,1.00%
Census Tract 1246; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 1246; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1246; Los Angeles County; California!!Male!!Margin of Error,±5.7
Census Tract 1246; Los Angeles County; California!!Female!!Estimate,2.00%
Census Tract 1246; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 1247; Los Angeles County; California!!Total!!Estimate,2.30%
Census Tract 1247; Los Angeles County; California!!Total!!Margin of Error,±3.5
Census Tract 1247; Los Angeles County; California!!Male!!Estimate,2.30%
Census Tract 1247; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1247; Los Angeles County; California!!Female!!Estimate,2.30%
Census Tract 1247; Los Angeles County; California!!Female!!Margin of Error,±3.6
Census Tract 1249.02; Los Angeles County; California!!Total!!Estimate,3.00%
Census Tract 1249.02; Los Angeles County; California!!Total!!Margin of Error,±3.7
Census Tract 1249.02; Los Angeles County; California!!Male!!Estimate,1.30%
Census Tract 1249.02; Los Angeles County; California!!Male!!Margin of Error,±2.1
Census Tract 1249.02; Los Angeles County; California!!Female!!Estimate,4.50%
Census Tract 1249.02; Los Angeles County; California!!Female!!Margin of Error,±6.1
Census Tract 1249.03; Los Angeles County; California!!Total!!Estimate,0.80%
Census Tract 1249.03; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 1249.03; Los Angeles County; California!!Male!!Estimate,1.50%
Census Tract 1249.03; Los Angeles County; California!!Male!!Margin of Error,±2.8
Census Tract 1249.03; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1249.03; Los Angeles County; California!!Female!!Margin of Error,±4.6
Census Tract 1251.01; Los Angeles County; California!!Total!!Estimate,1.50%
Census Tract 1251.01; Los Angeles County; California!!Total!!Margin of Error,±3.9
Census Tract 1251.01; Los Angeles County; California!!Male!!Estimate,1.70%
Census Tract 1251.01; Los Angeles County; California!!Male!!Margin of Error,±4.6
Census Tract 1251.01; Los Angeles County; California!!Female!!Estimate,1.40%
Census Tract 1251.01; Los Angeles County; California!!Female!!Margin of Error,±3.4
Census Tract 1251.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1251.02; Los Angeles County; California!!Total!!Margin of Error,±3.4
Census Tract 1251.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1251.02; Los Angeles County; California!!Male!!Margin of Error,±6.0
Census Tract 1251.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1251.02; Los Angeles County; California!!Female!!Margin of Error,±7.4
Census Tract 1252; Los Angeles County; California!!Total!!Estimate,4.10%
Census Tract 1252; Los Angeles County; California!!Total!!Margin of Error,±4.7
Census Tract 1252; Los Angeles County; California!!Male!!Estimate,1.20%
Census Tract 1252; Los Angeles County; California!!Male!!Margin of Error,±1.5
Census Tract 1252; Los Angeles County; California!!Female!!Estimate,6.70%
Census Tract 1252; Los Angeles County; California!!Female!!Margin of Error,±8.8
Census Tract 1253.10; Los Angeles County; California!!Total!!Estimate,1.30%
Census Tract 1253.10; Los Angeles County; California!!Total!!Margin of Error,±1.9
Census Tract 1253.10; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 1253.10; Los Angeles County; California!!Male!!Margin of Error,±1.7
Census Tract 1253.10; Los Angeles County; California!!Female!!Estimate,1.50%
Census Tract 1253.10; Los Angeles County; California!!Female!!Margin of Error,±2.9
Census Tract 1253.21; Los Angeles County; California!!Total!!Estimate,2.80%
Census Tract 1253.21; Los Angeles County; California!!Total!!Margin of Error,±2.7
Census Tract 1253.21; Los Angeles County; California!!Male!!Estimate,3.10%
Census Tract 1253.21; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1253.21; Los Angeles County; California!!Female!!Estimate,2.50%
Census Tract 1253.21; Los Angeles County; California!!Female!!Margin of Error,±3.0
Census Tract 1253.22; Los Angeles County; California!!Total!!Estimate,2.60%
Census Tract 1253.22; Los Angeles County; California!!Total!!Margin of Error,±4.3
Census Tract 1253.22; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1253.22; Los Angeles County; California!!Male!!Margin of Error,±7.3
Census Tract 1253.22; Los Angeles County; California!!Female!!Estimate,4.50%
Census Tract 1253.22; Los Angeles County; California!!Female!!Margin of Error,±7.7
Census Tract 1254.02; Los Angeles County; California!!Total!!Estimate,1.60%
Census Tract 1254.02; Los Angeles County; California!!Total!!Margin of Error,±1.9
Census Tract 1254.02; Los Angeles County; California!!Male!!Estimate,1.90%
Census Tract 1254.02; Los Angeles County; California!!Male!!Margin of Error,±3.0
Census Tract 1254.02; Los Angeles County; California!!Female!!Estimate,1.30%
Census Tract 1254.02; Los Angeles County; California!!Female!!Margin of Error,±2.2
Census Tract 1254.03; Los Angeles County; California!!Total!!Estimate,1.70%
Census Tract 1254.03; Los Angeles County; California!!Total!!Margin of Error,±2.2
Census Tract 1254.03; Los Angeles County; California!!Male!!Estimate,1.60%
Census Tract 1254.03; Los Angeles County; California!!Male!!Margin of Error,±2.6
Census Tract 1254.03; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 1254.03; Los Angeles County; California!!Female!!Margin of Error,±2.2
Census Tract 1254.04; Los Angeles County; California!!Total!!Estimate,10.60%
Census Tract 1254.04; Los Angeles County; California!!Total!!Margin of Error,±7.9
Census Tract 1254.04; Los Angeles County; California!!Male!!Estimate,10.80%
Census Tract 1254.04; Los Angeles County; California!!Male!!Margin of Error,±8.0
Census Tract 1254.04; Los Angeles County; California!!Female!!Estimate,10.20%
Census Tract 1254.04; Los Angeles County; California!!Female!!Margin of Error,±10.7
Census Tract 1255.01; Los Angeles County; California!!Total!!Estimate,5.80%
Census Tract 1255.01; Los Angeles County; California!!Total!!Margin of Error,±5.8
Census Tract 1255.01; Los Angeles County; California!!Male!!Estimate,7.70%
Census Tract 1255.01; Los Angeles County; California!!Male!!Margin of Error,±8.2
Census Tract 1255.01; Los Angeles County; California!!Female!!Estimate,3.40%
Census Tract 1255.01; Los Angeles County; California!!Female!!Margin of Error,±5.2
Census Tract 1255.02; Los Angeles County; California!!Total!!Estimate,4.00%
Census Tract 1255.02; Los Angeles County; California!!Total!!Margin of Error,±3.9
Census Tract 1255.02; Los Angeles County; California!!Male!!Estimate,6.20%
Census Tract 1255.02; Los Angeles County; California!!Male!!Margin of Error,±6.5
Census Tract 1255.02; Los Angeles County; California!!Female!!Estimate,2.40%
Census Tract 1255.02; Los Angeles County; California!!Female!!Margin of Error,±2.4
Census Tract 1256; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 1256; Los Angeles County; California!!Total!!Margin of Error,±1.1
Census Tract 1256; Los Angeles County; California!!Male!!Estimate,1.30%
Census Tract 1256; Los Angeles County; California!!Male!!Margin of Error,±2.0
Census Tract 1256; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1256; Los Angeles County; California!!Female!!Margin of Error,±6.1
Census Tract 1271.02; Los Angeles County; California!!Total!!Estimate,9.40%
Census Tract 1271.02; Los Angeles County; California!!Total!!Margin of Error,±10.0
Census Tract 1271.02; Los Angeles County; California!!Male!!Estimate,5.50%
Census Tract 1271.02; Los Angeles County; California!!Male!!Margin of Error,±4.8
Census Tract 1271.02; Los Angeles County; California!!Female!!Estimate,12.40%
Census Tract 1271.02; Los Angeles County; California!!Female!!Margin of Error,±14.2
Census Tract 1271.03; Los Angeles County; California!!Total!!Estimate,1.70%
Census Tract 1271.03; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 1271.03; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1271.03; Los Angeles County; California!!Male!!Margin of Error,±3.3
Census Tract 1271.03; Los Angeles County; California!!Female!!Estimate,4.70%
Census Tract 1271.03; Los Angeles County; California!!Female!!Margin of Error,±5.4
Census Tract 1271.04; Los Angeles County; California!!Total!!Estimate,1.50%
Census Tract 1271.04; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 1271.04; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1271.04; Los Angeles County; California!!Male!!Margin of Error,±4.7
Census Tract 1271.04; Los Angeles County; California!!Female!!Estimate,2.60%
Census Tract 1271.04; Los Angeles County; California!!Female!!Margin of Error,±3.7
Census Tract 1272.10; Los Angeles County; California!!Total!!Estimate,11.80%
Census Tract 1272.10; Los Angeles County; California!!Total!!Margin of Error,±7.5
Census Tract 1272.10; Los Angeles County; California!!Male!!Estimate,12.70%
Census Tract 1272.10; Los Angeles County; California!!Male!!Margin of Error,±8.2
Census Tract 1272.10; Los Angeles County; California!!Female!!Estimate,10.50%
Census Tract 1272.10; Los Angeles County; California!!Female!!Margin of Error,±7.6
Census Tract 1272.20; Los Angeles County; California!!Total!!Estimate,6.40%
Census Tract 1272.20; Los Angeles County; California!!Total!!Margin of Error,±4.7
Census Tract 1272.20; Los Angeles County; California!!Male!!Estimate,5.10%
Census Tract 1272.20; Los Angeles County; California!!Male!!Margin of Error,±5.1
Census Tract 1272.20; Los Angeles County; California!!Female!!Estimate,8.70%
Census Tract 1272.20; Los Angeles County; California!!Female!!Margin of Error,±9.4
Census Tract 1273; Los Angeles County; California!!Total!!Estimate,3.60%
Census Tract 1273; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 1273; Los Angeles County; California!!Male!!Estimate,3.10%
Census Tract 1273; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1273; Los Angeles County; California!!Female!!Estimate,4.10%
Census Tract 1273; Los Angeles County; California!!Female!!Margin of Error,±3.4
Census Tract 1274; Los Angeles County; California!!Total!!Estimate,12.80%
Census Tract 1274; Los Angeles County; California!!Total!!Margin of Error,±10.8
Census Tract 1274; Los Angeles County; California!!Male!!Estimate,12.90%
Census Tract 1274; Los Angeles County; California!!Male!!Margin of Error,±10.4
Census Tract 1274; Los Angeles County; California!!Female!!Estimate,12.60%
Census Tract 1274; Los Angeles County; California!!Female!!Margin of Error,±11.7
Census Tract 1275.20; Los Angeles County; California!!Total!!Estimate,7.60%
Census Tract 1275.20; Los Angeles County; California!!Total!!Margin of Error,±5.6
Census Tract 1275.20; Los Angeles County; California!!Male!!Estimate,8.70%
Census Tract 1275.20; Los Angeles County; California!!Male!!Margin of Error,±7.4
Census Tract 1275.20; Los Angeles County; California!!Female!!Estimate,6.20%
Census Tract 1275.20; Los Angeles County; California!!Female!!Margin of Error,±5.1
Census Tract 1276.03; Los Angeles County; California!!Total!!Estimate,2.80%
Census Tract 1276.03; Los Angeles County; California!!Total!!Margin of Error,±3.1
Census Tract 1276.03; Los Angeles County; California!!Male!!Estimate,1.90%
Census Tract 1276.03; Los Angeles County; California!!Male!!Margin of Error,±2.7
Census Tract 1276.03; Los Angeles County; California!!Female!!Estimate,4.10%
Census Tract 1276.03; Los Angeles County; California!!Female!!Margin of Error,±4.4
Census Tract 1276.04; Los Angeles County; California!!Total!!Estimate,5.10%
Census Tract 1276.04; Los Angeles County; California!!Total!!Margin of Error,±4.5
Census Tract 1276.04; Los Angeles County; California!!Male!!Estimate,4.00%
Census Tract 1276.04; Los Angeles County; California!!Male!!Margin of Error,±5.7
Census Tract 1276.04; Los Angeles County; California!!Female!!Estimate,6.00%
Census Tract 1276.04; Los Angeles County; California!!Female!!Margin of Error,±6.6
Census Tract 1276.05; Los Angeles County; California!!Total!!Estimate,12.50%
Census Tract 1276.05; Los Angeles County; California!!Total!!Margin of Error,±12.3
Census Tract 1276.05; Los Angeles County; California!!Male!!Estimate,5.10%
Census Tract 1276.05; Los Angeles County; California!!Male!!Margin of Error,±5.6
Census Tract 1276.05; Los Angeles County; California!!Female!!Estimate,23.10%
Census Tract 1276.05; Los Angeles County; California!!Female!!Margin of Error,±23.5
Census Tract 1276.06; Los Angeles County; California!!Total!!Estimate,4.00%
Census Tract 1276.06; Los Angeles County; California!!Total!!Margin of Error,±3.5
Census Tract 1276.06; Los Angeles County; California!!Male!!Estimate,5.10%
Census Tract 1276.06; Los Angeles County; California!!Male!!Margin of Error,±4.6
Census Tract 1276.06; Los Angeles County; California!!Female!!Estimate,2.60%
Census Tract 1276.06; Los Angeles County; California!!Female!!Margin of Error,±3.1
Census Tract 1277.11; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1277.11; Los Angeles County; California!!Total!!Margin of Error,±2.6
Census Tract 1277.11; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1277.11; Los Angeles County; California!!Male!!Margin of Error,±4.3
Census Tract 1277.11; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1277.11; Los Angeles County; California!!Female!!Margin of Error,±6.2
Census Tract 1277.12; Los Angeles County; California!!Total!!Estimate,4.90%
Census Tract 1277.12; Los Angeles County; California!!Total!!Margin of Error,±3.0
Census Tract 1277.12; Los Angeles County; California!!Male!!Estimate,7.70%
Census Tract 1277.12; Los Angeles County; California!!Male!!Margin of Error,±4.8
Census Tract 1277.12; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 1277.12; Los Angeles County; California!!Female!!Margin of Error,±2.2
Census Tract 1278.03; Los Angeles County; California!!Total!!Estimate,3.00%
Census Tract 1278.03; Los Angeles County; California!!Total!!Margin of Error,±2.5
Census Tract 1278.03; Los Angeles County; California!!Male!!Estimate,4.10%
Census Tract 1278.03; Los Angeles County; California!!Male!!Margin of Error,±3.5
Census Tract 1278.03; Los Angeles County; California!!Female!!Estimate,1.30%
Census Tract 1278.03; Los Angeles County; California!!Female!!Margin of Error,±2.1
Census Tract 1278.04; Los Angeles County; California!!Total!!Estimate,2.90%
Census Tract 1278.04; Los Angeles County; California!!Total!!Margin of Error,±2.2
Census Tract 1278.04; Los Angeles County; California!!Male!!Estimate,4.10%
Census Tract 1278.04; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1278.04; Los Angeles County; California!!Female!!Estimate,1.70%
Census Tract 1278.04; Los Angeles County; California!!Female!!Margin of Error,±2.0
Census Tract 1278.05; Los Angeles County; California!!Total!!Estimate,2.00%
Census Tract 1278.05; Los Angeles County; California!!Total!!Margin of Error,±2.7
Census Tract 1278.05; Los Angeles County; California!!Male!!Estimate,3.70%
Census Tract 1278.05; Los Angeles County; California!!Male!!Margin of Error,±5.2
Census Tract 1278.05; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1278.05; Los Angeles County; California!!Female!!Margin of Error,±5.7
Census Tract 1278.06; Los Angeles County; California!!Total!!Estimate,1.60%
Census Tract 1278.06; Los Angeles County; California!!Total!!Margin of Error,±2.6
Census Tract 1278.06; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1278.06; Los Angeles County; California!!Male!!Margin of Error,±3.6
Census Tract 1278.06; Los Angeles County; California!!Female!!Estimate,3.70%
Census Tract 1278.06; Los Angeles County; California!!Female!!Margin of Error,±5.6
Census Tract 1279.10; Los Angeles County; California!!Total!!Estimate,6.50%
Census Tract 1279.10; Los Angeles County; California!!Total!!Margin of Error,±5.0
Census Tract 1279.10; Los Angeles County; California!!Male!!Estimate,8.60%
Census Tract 1279.10; Los Angeles County; California!!Male!!Margin of Error,±7.6
Census Tract 1279.10; Los Angeles County; California!!Female!!Estimate,3.60%
Census Tract 1279.10; Los Angeles County; California!!Female!!Margin of Error,±3.9
Census Tract 1279.20; Los Angeles County; California!!Total!!Estimate,3.60%
Census Tract 1279.20; Los Angeles County; California!!Total!!Margin of Error,±3.1
Census Tract 1279.20; Los Angeles County; California!!Male!!Estimate,4.50%
Census Tract 1279.20; Los Angeles County; California!!Male!!Margin of Error,±4.1
Census Tract 1279.20; Los Angeles County; California!!Female!!Estimate,2.60%
Census Tract 1279.20; Los Angeles County; California!!Female!!Margin of Error,±2.8
Census Tract 1281.01; Los Angeles County; California!!Total!!Estimate,3.70%
Census Tract 1281.01; Los Angeles County; California!!Total!!Margin of Error,±4.0
Census Tract 1281.01; Los Angeles County; California!!Male!!Estimate,5.00%
Census Tract 1281.01; Los Angeles County; California!!Male!!Margin of Error,±4.9
Census Tract 1281.01; Los Angeles County; California!!Female!!Estimate,2.50%
Census Tract 1281.01; Los Angeles County; California!!Female!!Margin of Error,±3.7
Census Tract 1281.02; Los Angeles County; California!!Total!!Estimate,6.40%
Census Tract 1281.02; Los Angeles County; California!!Total!!Margin of Error,±4.7
Census Tract 1281.02; Los Angeles County; California!!Male!!Estimate,4.40%
Census Tract 1281.02; Los Angeles County; California!!Male!!Margin of Error,±4.0
Census Tract 1281.02; Los Angeles County; California!!Female!!Estimate,9.00%
Census Tract 1281.02; Los Angeles County; California!!Female!!Margin of Error,±8.3
Census Tract 1282.10; Los Angeles County; California!!Total!!Estimate,9.80%
Census Tract 1282.10; Los Angeles County; California!!Total!!Margin of Error,±5.6
Census Tract 1282.10; Los Angeles County; California!!Male!!Estimate,12.00%
Census Tract 1282.10; Los Angeles County; California!!Male!!Margin of Error,±7.5
Census Tract 1282.10; Los Angeles County; California!!Female!!Estimate,6.20%
Census Tract 1282.10; Los Angeles County; California!!Female!!Margin of Error,±5.5
Census Tract 1282.20; Los Angeles County; California!!Total!!Estimate,1.90%
Census Tract 1282.20; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 1282.20; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1282.20; Los Angeles County; California!!Male!!Margin of Error,±5.4
Census Tract 1282.20; Los Angeles County; California!!Female!!Estimate,4.50%
Census Tract 1282.20; Los Angeles County; California!!Female!!Margin of Error,±7.2
Census Tract 1283.02; Los Angeles County; California!!Total!!Estimate,5.40%
Census Tract 1283.02; Los Angeles County; California!!Total!!Margin of Error,±3.5
Census Tract 1283.02; Los Angeles County; California!!Male!!Estimate,4.70%
Census Tract 1283.02; Los Angeles County; California!!Male!!Margin of Error,±3.6
Census Tract 1283.02; Los Angeles County; California!!Female!!Estimate,6.40%
Census Tract 1283.02; Los Angeles County; California!!Female!!Margin of Error,±5.4
Census Tract 1283.03; Los Angeles County; California!!Total!!Estimate,5.00%
Census Tract 1283.03; Los Angeles County; California!!Total!!Margin of Error,±4.0
Census Tract 1283.03; Los Angeles County; California!!Male!!Estimate,2.40%
Census Tract 1283.03; Los Angeles County; California!!Male!!Margin of Error,±4.0
Census Tract 1283.03; Los Angeles County; California!!Female!!Estimate,10.20%
Census Tract 1283.03; Los Angeles County; California!!Female!!Margin of Error,±8.4
Census Tract 1284; Los Angeles County; California!!Total!!Estimate,1.00%
Census Tract 1284; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 1284; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 1284; Los Angeles County; California!!Male!!Margin of Error,±1.5
Census Tract 1284; Los Angeles County; California!!Female!!Estimate,1.10%
Census Tract 1284; Los Angeles County; California!!Female!!Margin of Error,±1.7
Census Tract 1285; Los Angeles County; California!!Total!!Estimate,3.90%
Census Tract 1285; Los Angeles County; California!!Total!!Margin of Error,±3.4
Census Tract 1285; Los Angeles County; California!!Male!!Estimate,2.50%
Census Tract 1285; Los Angeles County; California!!Male!!Margin of Error,±3.1
Census Tract 1285; Los Angeles County; California!!Female!!Estimate,5.20%
Census Tract 1285; Los Angeles County; California!!Female!!Margin of Error,±5.6
Census Tract 1286.01; Los Angeles County; California!!Total!!Estimate,1.40%
Census Tract 1286.01; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 1286.01; Los Angeles County; California!!Male!!Estimate,0.70%
Census Tract 1286.01; Los Angeles County; California!!Male!!Margin of Error,±1.3
Census Tract 1286.01; Los Angeles County; California!!Female!!Estimate,2.20%
Census Tract 1286.01; Los Angeles County; California!!Female!!Margin of Error,±3.5
Census Tract 1286.02; Los Angeles County; California!!Total!!Estimate,0.50%
Census Tract 1286.02; Los Angeles County; California!!Total!!Margin of Error,±0.8
Census Tract 1286.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1286.02; Los Angeles County; California!!Male!!Margin of Error,±5.7
Census Tract 1286.02; Los Angeles County; California!!Female!!Estimate,1.00%
Census Tract 1286.02; Los Angeles County; California!!Female!!Margin of Error,±1.7
Census Tract 1287.03; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1287.03; Los Angeles County; California!!Total!!Margin of Error,±2.3
Census Tract 1287.03; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1287.03; Los Angeles County; California!!Male!!Margin of Error,±4.9
Census Tract 1287.03; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1287.03; Los Angeles County; California!!Female!!Margin of Error,±4.3
Census Tract 1287.04; Los Angeles County; California!!Total!!Estimate,11.10%
Census Tract 1287.04; Los Angeles County; California!!Total!!Margin of Error,±11.6
Census Tract 1287.04; Los Angeles County; California!!Male!!Estimate,15.70%
Census Tract 1287.04; Los Angeles County; California!!Male!!Margin of Error,±19.0
Census Tract 1287.04; Los Angeles County; California!!Female!!Estimate,5.70%
Census Tract 1287.04; Los Angeles County; California!!Female!!Margin of Error,±9.4
Census Tract 1288.01; Los Angeles County; California!!Total!!Estimate,0.50%
Census Tract 1288.01; Los Angeles County; California!!Total!!Margin of Error,±0.7
Census Tract 1288.01; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 1288.01; Los Angeles County; California!!Male!!Margin of Error,±1.5
Census Tract 1288.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1288.01; Los Angeles County; California!!Female!!Margin of Error,±3.5
Census Tract 1288.02; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 1288.02; Los Angeles County; California!!Total!!Margin of Error,±1.0
Census Tract 1288.02; Los Angeles County; California!!Male!!Estimate,1.20%
Census Tract 1288.02; Los Angeles County; California!!Male!!Margin of Error,±1.8
Census Tract 1288.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1288.02; Los Angeles County; California!!Female!!Margin of Error,±4.2
Census Tract 1289.10; Los Angeles County; California!!Total!!Estimate,0.40%
Census Tract 1289.10; Los Angeles County; California!!Total!!Margin of Error,±0.7
Census Tract 1289.10; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1289.10; Los Angeles County; California!!Male!!Margin of Error,±3.0
Census Tract 1289.10; Los Angeles County; California!!Female!!Estimate,1.10%
Census Tract 1289.10; Los Angeles County; California!!Female!!Margin of Error,±1.7
Census Tract 1310.21; Los Angeles County; California!!Total!!Estimate,4.10%
Census Tract 1310.21; Los Angeles County; California!!Total!!Margin of Error,±4.2
Census Tract 1310.21; Los Angeles County; California!!Male!!Estimate,3.00%
Census Tract 1310.21; Los Angeles County; California!!Male!!Margin of Error,±4.4
Census Tract 1310.21; Los Angeles County; California!!Female!!Estimate,5.60%
Census Tract 1310.21; Los Angeles County; California!!Female!!Margin of Error,±7.8
Census Tract 1310.22; Los Angeles County; California!!Total!!Estimate,4.40%
Census Tract 1310.22; Los Angeles County; California!!Total!!Margin of Error,±4.4
Census Tract 1310.22; Los Angeles County; California!!Male!!Estimate,5.90%
Census Tract 1310.22; Los Angeles County; California!!Male!!Margin of Error,±6.5
Census Tract 1310.22; Los Angeles County; California!!Female!!Estimate,2.30%
Census Tract 1310.22; Los Angeles County; California!!Female!!Margin of Error,±2.8
Census Tract 1310.23; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1310.23; Los Angeles County; California!!Total!!Margin of Error,±3.0
Census Tract 1310.23; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1310.23; Los Angeles County; California!!Male!!Margin of Error,±5.1
Census Tract 1310.23; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1310.23; Los Angeles County; California!!Female!!Margin of Error,±7.0
Census Tract 1310.24; Los Angeles County; California!!Total!!Estimate,2.10%
Census Tract 1310.24; Los Angeles County; California!!Total!!Margin of Error,±3.1
Census Tract 1310.24; Los Angeles County; California!!Male!!Estimate,2.20%
Census Tract 1310.24; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1310.24; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 1310.24; Los Angeles County; California!!Female!!Margin of Error,±3.0
Census Tract 1311; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1311; Los Angeles County; California!!Total!!Margin of Error,±2.7
Census Tract 1311; Los Angeles County; California!!Male!!Estimate,0.00%
